"idL" "idD" "id" "date" "year" "DOY" "sp" "tree" "TWood" "phase" "type" "Cells" "X" "Y" "Area.zone" "idC" "Area.v" "X.v" "Y.v" "Feret.v" "FeretX.v" "FeretY.v" "FeretAngle.v" "MinFeret.v" "feature" "X.cor" "Y.cor"
"Lz.Fa.73.06_19_18.170.C" "Lz.Fa.73.06_19_18" "Fa.73" "06_19_18" 2018 170 "Fa" 73 "RP" "C" "Cambial" "Cambial Row" 226.703 1652.316 810683.9 1010 NA NA NA NA NA NA NA NA NA 99.2875196202733 1514.10226601784
"Lz.Fa.73.06_19_18.170.C" "Lz.Fa.73.06_19_18" "Fa.73" "06_19_18" 2018 170 "Fa" 73 "RP" "C" "Cambial" "Cambial Row" 205.995 1655.586 810683.9 1012 NA NA NA NA NA NA NA NA NA 78.3403552261639 1513.2475919009
"Lz.Fa.73.06_19_18.170.C" "Lz.Fa.73.06_19_18" "Fa.73" "06_19_18" 2018 170 "Fa" 73 "RP" "C" "Cambial" "Cambial Row" 246.866 1645.777 810683.9 1008 NA NA NA NA NA NA NA NA NA 120.341371191898 1511.64453861228
"Lz.Fa.73.06_19_18.170.C" "Lz.Fa.73.06_19_18" "Fa.73" "06_19_18" 2018 170 "Fa" 73 "RP" "C" "Cambial" "Cambial Row" 178.202 1657.221 810683.9 1013 NA NA NA NA NA NA NA NA NA 50.7664266257352 1509.40018556176
"Lz.Fa.73.06_19_18.170.C" "Lz.Fa.73.06_19_18" "Fa.73" "06_19_18" 2018 170 "Fa" 73 "RP" "C" "Cambial" "Cambial Row" 151.499 1662.125 810683.9 1014 NA NA NA NA NA NA NA NA NA 23.6202273160429 1508.97206403876
"Lz.Fa.73.06_19_18.170.C" "Lz.Fa.73.06_19_18" "Fa.73" "06_19_18" 2018 170 "Fa" 73 "RP" "C" "Cambial" "Cambial Row" 349.319 1622.343 810683.9 998 NA NA NA NA NA NA NA NA NA 225.400588669288 1508.75829745146
"Lz.Fa.73.06_19_18.170.C" "Lz.Fa.73.06_19_18" "Fa.73" "06_19_18" 2018 170 "Fa" 73 "RP" "C" "Cambial" "Cambial Row" 273.569 1637.057 810683.9 1003 NA NA NA NA NA NA NA NA NA 148.235949673278 1508.33076427685
"Lz.Fa.73.06_19_18.170.C" "Lz.Fa.73.06_19_18" "Fa.73" "06_19_18" 2018 170 "Fa" 73 "RP" "C" "Cambial" "Cambial Row" 367.847 1616.894 810683.9 993 NA NA NA NA NA NA NA NA NA 244.637424248857 1507.04875310146
"Lz.Fa.73.06_19_18.170.C" "Lz.Fa.73.06_19_18" "Fa.73" "06_19_18" 2018 170 "Fa" 73 "RP" "C" "Cambial" "Cambial Row" 432.153 1603.815 810683.9 986 NA NA NA NA NA NA NA NA NA 310.25964811131 1506.83518263029
"Lz.Fa.73.06_19_18.170.C" "Lz.Fa.73.06_19_18" "Fa.73" "06_19_18" 2018 170 "Fa" 73 "RP" "C" "Cambial" "Cambial Row" 473.025 1595.64 810683.9 981 NA NA NA NA NA NA NA NA NA 351.941190892904 1506.83459428189
"Lz.Fa.73.06_19_18.170.C" "Lz.Fa.73.06_19_18" "Fa.73" "06_19_18" 2018 170 "Fa" 73 "RP" "C" "Cambial" "Cambial Row" 393.46 1611.444 810683.9 991 NA NA NA NA NA NA NA NA NA 270.821870031832 1506.72771098824
"Lz.Fa.73.06_19_18.170.C" "Lz.Fa.73.06_19_18" "Fa.73" "06_19_18" 2018 170 "Fa" 73 "RP" "C" "Cambial" "Cambial Row" 539.51 1580.926 810683.9 965 NA NA NA NA NA NA NA NA NA 420.020749928638 1505.44511146443
"Lz.Fa.73.06_19_18.170.C" "Lz.Fa.73.06_19_18" "Fa.73" "06_19_18" 2018 170 "Fa" 73 "RP" "C" "Cambial" "Cambial Row" 511.717 1586.376 810683.9 973 NA NA NA NA NA NA NA NA NA 391.698638272657 1505.33862040305
"Lz.Fa.73.06_19_18.170.C" "Lz.Fa.73.06_19_18" "Fa.73" "06_19_18" 2018 170 "Fa" 73 "RP" "C" "Cambial" "Cambial Row" 127.52 1662.67 810683.9 1015 NA NA NA NA NA NA NA NA NA 0 1504.80381170253
"Lz.Fa.73.06_19_18.170.E" "Lz.Fa.73.06_19_18" "Fa.73" "06_19_18" 2018 170 "Fa" 73 "RP" "E" "APF" "01_Enlarging Axial Parenchyma_Fibers" 214.169 1643.052 810683.9 1007 NA NA NA NA NA NA NA NA NA 88.8137413070835 1502.56004700041
"Lz.Fa.73.06_19_18.170.E" "Lz.Fa.73.06_19_18" "Fa.73" "06_19_18" 2018 170 "Fa" 73 "RP" "E" "APF" "01_Enlarging Axial Parenchyma_Fibers" 247.411 1635.422 810683.9 1002 NA NA NA NA NA NA NA NA NA 122.906570239505 1501.59750900916
"Lz.Fa.73.06_19_18.170.E" "Lz.Fa.73.06_19_18" "Fa.73" "06_19_18" 2018 170 "Fa" 73 "RP" "E" "APF" "01_Enlarging Axial Parenchyma_Fibers" 152.589 1652.861 810683.9 1011 NA NA NA NA NA NA NA NA NA 26.5058801284661 1500.10173124646
"Lz.Fa.73.06_19_18.170.E" "Lz.Fa.73.06_19_18" "Fa.73" "06_19_18" 2018 170 "Fa" 73 "RP" "E" "APF" "01_Enlarging Axial Parenchyma_Fibers" 510.082 1580.926 810683.9 966 NA NA NA NA NA NA NA NA NA 391.164221804405 1499.67380583958
"Lz.Fa.73.06_19_18.170.C" "Lz.Fa.73.06_19_18" "Fa.73" "06_19_18" 2018 170 "Fa" 73 "RP" "C" "Cambial" "Cambial Row" 575.477 1566.757 810683.9 954 NA NA NA NA NA NA NA NA NA 458.068064609986 1498.60497290308
"Lz.Fa.73.06_19_18.170.E" "Lz.Fa.73.06_19_18" "Fa.73" "06_19_18" 2018 170 "Fa" 73 "RP" "E" "APF" "01_Enlarging Axial Parenchyma_Fibers" 349.864 1610.354 810683.9 990 NA NA NA NA NA NA NA NA NA 228.286241481711 1497.10899902425
"Lz.Fa.73.06_19_18.170.E" "Lz.Fa.73.06_19_18" "Fa.73" "06_19_18" 2018 170 "Fa" 73 "RP" "E" "APF" "01_Enlarging Axial Parenchyma_Fibers" 542.234 1571.117 810683.9 961 NA NA NA NA NA NA NA NA NA 424.615554858791 1496.3608159687
"Lz.Fa.73.06_19_18.170.E" "Lz.Fa.73.06_19_18" "Fa.73" "06_19_18" 2018 170 "Fa" 73 "RP" "E" "APF" "01_Enlarging Axial Parenchyma_Fibers" 465.395 1586.376 810683.9 974 NA NA NA NA NA NA NA NA NA 346.276180213302 1496.25412879118
