"idC" "idL" "idD" "id" "year" "DOY" "sp" "tree" "phase" "date" "TWood" "type" "Cells" "X" "Y" "Area.zone" "Area.v" "X.v" "Y.v" "Feret.v" "FeretX.v" "FeretY.v" "FeretAngle.v" "MinFeret.v" "X.cor" "Y.cor"
1 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 176.809 8.282 572852.466 NA NA NA NA NA NA NA NA 141.008224818171 0
2 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 114.385 10.724 572852.466 NA NA NA NA NA NA NA NA 78.6210225409777 3.24902016376749
3 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 140.889 11.072 572852.466 NA NA NA NA NA NA NA NA 105.127306560982 3.25425951960533
4 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 158.326 12.119 572852.466 NA NA NA NA NA NA NA NA 122.576387687986 4.07568865424504
5 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 223.191 13.514 572852.466 NA NA NA NA NA NA NA NA 187.454003317906 4.63178233010957
6 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 125.196 15.955 572852.466 NA NA NA NA NA NA NA NA 89.4987623051718 8.33978234859497
7 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 132.52 16.652 572852.466 NA NA NA NA NA NA NA NA 96.831163049897 8.94201512647511
8 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 147.515 21.186 572852.466 NA NA NA NA NA NA NA NA 111.88353985169 13.2817309716481
9 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 231.909 23.976 572852.466 NA NA NA NA NA NA NA NA 196.30656178763 14.9801723759147
10 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 113.339 26.068 572852.466 NA NA NA NA NA NA NA NA 77.7735280824753 18.605263361334
11 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 161.116 26.765 572852.466 NA NA NA NA NA NA NA NA 125.555546433071 18.6843856930499
12 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 134.961 28.509 572852.466 NA NA NA NA NA NA NA NA 99.4252855410868 20.7664583903545
13 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 244.464 29.207 572852.466 NA NA NA NA NA NA NA NA 208.928155730863 20.0483823490864
14 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 122.406 35.135 572852.466 NA NA NA NA NA NA NA NA 86.9570181882226 27.5542570185919
15 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 152.398 35.484 572852.466 NA NA NA NA NA NA NA NA 116.951023497618 27.5153918675053
16 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 255.972 36.181 572852.466 NA NA NA NA NA NA NA NA 220.525376497182 26.8729856706912
17 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 136.356 41.064 572852.466 NA NA NA NA NA NA NA NA 100.982521548596 33.302369446872
18 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 110.898 42.11 572852.466 NA NA NA NA NA NA NA NA 75.5401763212076 34.6774873801325
19 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 242.371 43.156 572852.466 NA NA NA NA NA NA NA NA 207.015709632043 34.0232812724815
20 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Vessel" "07_Mature Vessels" 195.99 44.202 572852.466 3908.03 197.559 45.074 75.047 2132 33043 71.86 66.389 160.65211383813 35.668961089041
