"id" "idC" "cFile" "X.cor" "Y.cor" "Xmin" "Xmax" "Ymin" "Ymax" "TransvDiaTheo" "perLength" "cumperLength" "Xinter.min" "Xinter.max" "Ymin.line" "layer"
"14" "Lz.Fa.73.06_19_18" 1015 1 0 1504.804 -11.81 11.81 1502.72 1506.888 23.9849249321318 4.89 4.89 184.25326623981 206.46049179821 45.4898024323153 36.8916831456035
"5" "Lz.Fa.73.06_19_18" 1014 2 23.62 1508.972 11.81 37.193 1506.888 1509.186 25.4868101770308 5.2 10.09 206.46049179821 230.075537381785 45.6362246466555 36.992222590245
"4" "Lz.Fa.73.06_19_18" 1013 3 50.766 1509.4 37.193 64.553 1509.186 1511.324 27.4434080245147 5.59 15.68 230.075537381785 255.461711384129 48.4146019331581 36.9334631580824
"2" "Lz.Fa.73.06_19_18" 1012 4 78.34 1513.248 64.553 88.814 1511.324 1513.675 24.3746450640825 4.97 20.65 255.461711384129 278.032245336123 49.4146019331581 37.0046631580824
"1" "Lz.Fa.73.06_19_18" 1010 5 99.288 1514.102 88.814 109.814 1513.675 1512.874 21.0152706620686 4.28 24.93 278.032245336123 297.469244393373 42.6434924244468 37.1952908958002
"3" "Lz.Fa.73.06_19_18" 1008 6 120.341 1511.645 109.814 134.288 1512.874 1509.988 24.643572630607 5.02 29.95 297.469244393373 320.266846091363 41.6434924244468 37.1588658958002
"7" "Lz.Fa.73.06_19_18" 1003 7 148.236 1508.331 134.288 186.818 1509.988 1508.544 52.5498433489578 10.71 40.66 320.266846091363 368.904757283687 40.6434924244468 37.1010158958002
"6" "Lz.Fa.73.06_19_18" 998 8 225.401 1508.758 186.818 235.019 1508.544 1507.903 48.205261974187 9.83 50.49 368.904757283687 413.546276146484 39.6434924244468 37.1366908958002
"8" "Lz.Fa.73.06_19_18" 993 9 244.637 1507.049 235.019 257.73 1507.903 1506.889 22.7336252498364 4.63 55.12 413.546276146484 434.572749425706 38.6434924244468 37.1189658958002
"11" "Lz.Fa.73.06_19_18" 991 10 270.822 1506.728 257.73 290.541 1506.889 1506.782 32.8111744684642 6.69 61.81 434.572749425706 464.954413839959 37.6434924244468 37.1359408958002
"9" "Lz.Fa.73.06_19_18" 986 11 310.26 1506.835 290.541 331.1 1506.782 1506.835 40.559034628551 8.27 70.08 464.954413839959 502.511419027683 36.6434924244468 37.1636158958002
"10" "Lz.Fa.73.06_19_18" 981 12 351.941 1506.835 331.1 371.82 1506.835 1506.087 40.7268695580694 8.3 78.38 502.511419027683 540.204664863005 12.3982659473009 37.7697465577289
"13" "Lz.Fa.73.06_19_18" 973 13 391.699 1505.339 371.82 405.86 1506.087 1505.392 34.0470942225618 6.94 85.32 540.204664863005 571.721668007238 2.45851187009239 37.9808404096591
"12" "Lz.Fa.73.06_19_18" 965 14 420.021 1505.445 405.86 439.044 1505.392 1502.025 33.3543781983715 6.8 92.12 571.721668007238 602.602881462682 7.26786785208606 37.8632565101092
"15" "Lz.Fa.73.06_19_18" 954 15 458.068 1498.605 439.044 477.092 1502.025 1495.185 38.6579345542413 7.88 100 602.602881462682 641.038339093723 0 37.8739532064114
