"idC" "idL" "idD" "id" "date" "year" "DOY" "sp" "tree" "TWood" "phase" "type" "Cells" "X" "Y" "Area.zone" "Area.v" "X.v" "Y.v" "Feret.v" "FeretX.v" "FeretY.v" "FeretAngle.v" "MinFeret.v" "feature" "X.ror" "Y.ror" "X.cor" "Y.cor" "cell.distCCcor" "cell.indexM1" "CindexM1.rel" "idSector" "cFile" "layer" "LeftInf" "LeftSup" "LeftEdge" "RightInf" "RightSup" "RightEdge" "PolySide" "pool"
"1015" 1015 "Lz.Fa.73.06_19_18.170.C" "Lz.Fa.73.06_19_18" "Fa.73" "06_19_18" 2018 170 "Fa" 73 "RP" "C" "Cambial" "Cambial Row" 127.52 1662.67 810683.9 NA NA NA NA NA NA NA NA NA -201.032766646098 1655.39080160384 0 1504.80381170253 2.93581931979179 0 100 "c1.l38" "1" "38" 36.2952281158731 14.2646105027434 16.7057497404073 35.7781113040488 16.9570311800941 17.3079964255164 "LeftSup" "Cambial"
"1014" 1014 "Lz.Fa.73.06_19_18.170.C" "Lz.Fa.73.06_19_18" "Fa.73" "06_19_18" 2018 170 "Fa" 73 "RP" "C" "Cambial" "Cambial Row" 151.499 1662.125 810683.9 NA NA NA NA NA NA NA NA NA -177.412539330055 1659.55905394007 23.6202273160429 1508.97206403876 -1.23243301643538 0 100 "c2.l38" "2" "38" 36.3511767417071 14.2646571862259 16.6794457454551 39.8547088253789 15.9765535362648 20.9502699670104 "LeftSup" "Cambial"
"1013" 1013 "Lz.Fa.73.06_19_18.170.C" "Lz.Fa.73.06_19_18" "Fa.73" "06_19_18" 2018 170 "Fa" 73 "RP" "C" "Cambial" "Cambial Row" 178.202 1657.221 810683.9 NA NA NA NA NA NA NA NA NA -150.266340020363 1659.98717546308 50.7664266257352 1509.40018556176 -1.66055453944205 0 100 "c3.l38" "3" "38" 36.6600209377254 15.7554733794479 17.6970565560112 37.0018483102813 18.1780172837126 19.1165680323487 "LeftSup" "Cambial"
"1012" 1012 "Lz.Fa.73.06_19_18.170.C" "Lz.Fa.73.06_19_18" "Fa.73" "06_19_18" 2018 170 "Fa" 73 "RP" "C" "Cambial" "Cambial Row" 205.995 1655.586 810683.9 NA NA NA NA NA NA NA NA NA -122.692411419935 1663.83458180222 78.3403552261639 1513.2475919009 -5.50796087858271 0 100 "c4.l38" "4" "38" 36.7987970766413 15.9404420856065 17.8823714324919 38.3355962542927 13.714874320748 18.4419857761919 "RightSup" "Cambial"
"1011" 1011 "Lz.Fa.73.06_19_18.170.E" "Lz.Fa.73.06_19_18" "Fa.73" "06_19_18" 2018 170 "Fa" 73 "RP" "E" "APF" "01_Enlarging Axial Parenchyma_Fibers" 152.589 1652.861 810683.9 NA NA NA NA NA NA NA NA NA -174.526886517632 1650.68872114777 26.5058801284661 1500.10173124646 7.63789977586453 1 98.5074626865672 "c2.l38" "2" "38" 28.5252805515441 22.3735303554649 13.1488747943503 30.705994213103 20.3333379703932 13.9728711895892 "LeftEdge" "APF"
"1010" 1010 "Lz.Fa.73.06_19_18.170.C" "Lz.Fa.73.06_19_18" "Fa.73" "06_19_18" 2018 170 "Fa" 73 "RP" "C" "Cambial" "Cambial Row" 226.703 1652.316 810683.9 NA NA NA NA NA NA NA NA NA -101.745247025825 1664.68925591915 99.2875196202733 1514.10226601784 -6.36263499551524 0 100 "c5.l38" "5" "38" 36.3493267002414 13.1791637451538 16.0851153168843 41.3319800720665 13.2212908965084 19.961986614822 "LeftSup" "Cambial"
"1009" 1009 "Lz.Fa.73.06_19_18.170.E" "Lz.Fa.73.06_19_18" "Fa.73" "06_19_18" 2018 170 "Fa" 73 "RP" "E" "APF" "01_Enlarging Axial Parenchyma_Fibers" 130.79 1650.136 810683.9 NA NA NA NA NA NA NA NA NA -195.368148198767 1643.74150317664 5.66461844733129 1493.15451327532 14.5851177469997 1 98.5074626865672 "c1.l38" "1" "38" 27.1051739883637 26.2957148300478 15.2232803193441 22.8395673650822 24.5975280934526 8.89391790315458 "RightEdge" "APF"
"1008" 1008 "Lz.Fa.73.06_19_18.170.C" "Lz.Fa.73.06_19_18" "Fa.73" "06_19_18" 2018 170 "Fa" 73 "RP" "C" "Cambial" "Cambial Row" 246.866 1645.777 810683.9 NA NA NA NA NA NA NA NA NA -80.6913954542004 1662.2315285136 120.341371191898 1511.64453861228 -3.90490758996316 0 100 "c6.l38" "6" "38" 36.3356935060005 14.8385997616911 15.0713863831854 43.4539284311871 16.0784277069426 22.6188006137464 "LeftSup" "Cambial"
"1007" 1007 "Lz.Fa.73.06_19_18.170.E" "Lz.Fa.73.06_19_18" "Fa.73" "06_19_18" 2018 170 "Fa" 73 "RP" "E" "APF" "01_Enlarging Axial Parenchyma_Fibers" 214.169 1643.052 810683.9 NA NA NA NA NA NA NA NA NA -112.219025339015 1653.14703690173 88.8137413070835 1502.56004700041 5.17958402190766 1 98.5074626865672 "c4.l38" "4" "38" 31.600484444836 30.6238984468686 21.9968523789115 24.896211448725 19.5419530013025 3.47902518941798 "RightEdge" "APF"
"1006" 1006 "Lz.Fa.73.06_19_18.170.E" "Lz.Fa.73.06_19_18" "Fa.73" "06_19_18" 2018 170 "Fa" 73 "RP" "E" "APF" "01_Enlarging Axial Parenchyma_Fibers" 171.117 1641.417 810683.9 NA NA NA NA NA NA NA NA NA -154.114334707909 1643.100595647 46.9184319381889 1492.51360574569 15.2260252766314 1 98.5074626865672 "c3.l38" "3" "38" 19.3422948728605 26.7192186518487 7.81730648121024 27.1435089215656 33.7141424907823 21.2687885925679 "LeftEdge" "APF"
