"idSector" "layer" "cFile" "idD" "xLeftC" "xRightC" "yInfL" "ySupL" "xLeftL" "xRightL" "yLeftL" "yRightL" "xLeftLed" "xRightLed" "xLengthL" "xLengthInfL" "xLengthSupL" "xLeftInfP" "xLeftSupP" "xLeftEdgeS" "yLeftInfS" "yLeftSupS" "yLeftEdgeS" "xRightInfS" "xRightSupS" "xRightEdgeS" "yRightInfS" "yRightSupS" "yRightEdgeS" "APF" "vessel" "idVessel" "cell" "nbcell"
"1" "c1.l1" 1 1 "Lz.Fa.73.06_19_18" NA 1 40.49 79.103 184.25326623981 641.038339093723 58.3537676619613 58.3537676619613 177.25326623981 648.038339093723 474.387760194559 472.977721380261 488.522231571501 177.25326623981 161.542991002296 169.398128621053 35.49 79.103 58.3537676619613 200.381876815305 185.233910149238 192.807893482271 35.49 79.2295 59.996 1 0 NA 1 1
"2" "c1.l10" 10 1 "Lz.Fa.73.06_19_18" 122 57 388.012 426.625 167.794219598338 659.099850675409 398.3641 398.3641 160.794219598338 666.099850675409 505.305631077071 508.731151364845 512.177232159253 158.657142073738 155.130189499412 155.130189499412 388.012 426.625 398.3641 183.534095375479 180.175656151999 181.854875763739 389.11 427.83 408.47 1 0 NA 1 2
"3" "c1.l11" 11 1 "Lz.Fa.73.06_19_18" 129 57 426.625 465.239 162.130189499412 659.099850675409 437.394866666667 437.394866666667 155.130189499412 666.099850675409 510.969661175997 512.177232159253 512.107375782963 155.130189499412 155.130189499412 155.130189499412 426.625 465.239 437.394866666667 180.175656151999 180.172240175199 180.173948163599 427.83 466.549 447.1895 1 0 NA 1 3
"4" "c1.l12" 12 1 "Lz.Fa.73.06_19_18" 136 57 465.239 503.852 167.687728536958 659.099850675409 476.425666666667 476.425666666667 160.687728536958 666.099850675409 505.412122138451 512.107375782963 520.99805177999 155.130189499412 146.153169529597 146.153169529597 465.239 503.852 476.425666666667 180.172240175199 171.629974261638 175.901107218419 466.549 505.269 485.909 1 0 NA 1 1
"5" "c1.l13" 13 1 "Lz.Fa.73.06_19_18" 150 57 503.852 542.466 153.153169529597 659.099850675409 515.456466666667 515.456466666667 146.153169529597 666.099850675409 519.946681145812 520.99805177999 534.482144914978 146.153169529597 132.579383468278 132.579383468278 503.852 542.466 515.456466666667 171.629974261638 158.71556035462 165.172767308129 505.269 543.988 524.6285 1 0 NA 1 1
"6" "c1.l14" 14 1 "Lz.Fa.73.06_19_18" 168 57 542.466 581.079 139.579383468278 659.099850675409 554.487133333333 554.487133333333 132.579383468278 666.099850675409 533.520467207131 534.482144914978 574.329871688715 132.579383468278 92.6079733850891 92.6079733850891 542.466 581.079 554.487133333333 158.71556035462 120.692704110667 139.704132232644 543.988 582.707 563.3475 1 0 NA 1 1
"7" "c1.l15" 15 1 "Lz.Fa.73.06_19_18" 209 57 581.079 619.693 99.6079733850891 659.099850675409 593.5177 593.5177 92.6079733850891 666.099850675409 573.49187729032 574.329871688715 604.054248364721 92.6079733850891 62.7900839664094 62.7900839664094 581.079 619.693 593.5177 120.692704110667 92.3283367114442 106.510520411056 582.707 621.427 602.067 0 0 NA 0 0
"8" "c1.l16" 16 1 "Lz.Fa.73.06_19_18" 225 57 619.693 658.306 69.7900839664094 621.021422176515 632.548433333333 632.548433333333 62.7900839664094 628.021422176515 565.231338210106 604.054248364721 581.876779395746 62.7900839664094 46.8650615609185 46.8650615609185 619.693 658.306 632.548433333333 92.3283367114442 75.3188360733704 83.8235863924073 621.427 660.146 640.7865 1 0 NA 1 1
"9" "c1.l17" 17 1 "Lz.Fa.73.06_19_18" 255 57 658.306 696.92 53.8650615609185 603.876202473692 690.842031612065 650.122438473323 46.8650615609185 610.876202473692 565.479135193433 581.876779395746 573.346935688689 46.8650615609185 38.2090837043245 38.2090837043245 658.306 696.92 690.842031612065 75.3188360733704 66.2457488595014 70.7822924664359 660.146 698.865 679.5055 1 0 NA 1 2
"10" "c1.l18" 18 1 "Lz.Fa.73.06_19_18" 272 187 696.92 735.533 45.2090837043245 575.202936992375 723.011157374916 679.512794717402 38.2090837043245 582.202936992375 545.730171393396 573.346935688689 545.939079477269 38.2090837043245 36.9258958321154 36.9258958321154 696.92 735.533 723.011157374916 66.2457488595014 63.6223168185538 64.9340328390276 698.865 737.585 718.225 1 0 NA 1 1
