"idD" "minLay" "idSectorMin" "idVessel" "cFile" "layer" "idSectorV" "nbNeigh" "type" "PolySide" "nbcell" "CellS" "CellI" "CellE" "LSide" "nbCellp" "cumulCBef" "vessel.index" "id" "DOY" "RRF_avg" "cumulCellLay" "vessel.Relindex"
"1" "St.Fs.55.06_28_2018" 1 "c5.l1" 20 "5" "2" "c5.l2" 11 "Vessel" "LeftEdge" 0 0 0 0 "Edge" 0 0 1 "Fs.55" 179 263 263 0.380228136882129
"2" "St.Fs.55.06_28_2018" 2 "c2.l2" 37 "2" "3" "c2.l3" 10 "Vessel" "RightSup" 2 0 1 1 "Sup" 2 3 6 "Fs.55" 179 263 263 2.28136882129278
"3" "St.Fs.55.06_28_2018" 2 "c7.l2" 31 "7" "2" "c7.l2" 8 "Vessel" "RightEdge" 0 0 0 0 "Edge" 0 3 4 "Fs.55" 179 263 263 1.52091254752852
"4" "St.Fs.55.06_28_2018" 4 "c7.l4" 74 "7" "4" "c7.l4" 5 "Vessel" "RightEdge" 3 0 1 0 "Edge" 1 8 10 "Fs.55" 179 263 263 3.80228136882129
"5" "St.Fs.55.06_28_2018" 5 "c2.l5" 87 "2" "6" "c2.l6" 10 "Vessel" "LeftInf" 0 0 0 0 "Inf" 0 11 12 "Fs.55" 179 263 263 4.56273764258555
"6" "St.Fs.55.06_28_2018" 6 "c6.l6" 102 "6" "7" "c6.l7" 8 "Vessel" "RightInf" 0 0 0 0 "Inf" 0 14 15 "Fs.55" 179 263 263 5.70342205323194
"7" "St.Fs.55.06_28_2018" 7 "c3.l7" 123 "3" "8" "c3.l8" 12 "Vessel" "RightSup" 2 0 1 1 "Sup" 2 16 19 "Fs.55" 179 263 263 7.22433460076046
"8" "St.Fs.55.06_28_2018" 9 "c6.l9" 163 "6" "10" "c6.l10" 11 "Vessel" "RightEdge" 3 0 1 1 "Edge" 2 22 25 "Fs.55" 179 263 263 9.50570342205323
"9" "St.Fs.55.06_28_2018" 10 "c5.l10" 176 "5" "11" "c5.l11" 6 "Vessel" "LeftSup" 1 0 0 1 "Sup" 1 25 27 "Fs.55" 179 263 263 10.2661596958175
"10" "St.Fs.55.06_28_2018" 11 "c7.l11" 189 "7" "12" "c7.l12" 5 "Vessel" "RightInf" 1 0 0 1 "Inf" 1 27 29 "Fs.55" 179 263 263 11.0266159695817
"11" "St.Fs.55.06_28_2018" 11 "c6.l11" 191 "6" "12" "c6.l12" 7 "Vessel" "RightEdge" 0 0 0 0 "Edge" 0 27 28 "Fs.55" 179 263 263 10.6463878326996
