"idD" "idV" "idCNeigh" "distance" "idSectorCN"
"970" "Lz.Fa.73.06_19_18" 994 970 36.5577434177531 "c4.l37"
"976" "Lz.Fa.73.06_19_18" 994 976 45.4770213928907 "c6.l37"
"988" "Lz.Fa.73.06_19_18" 994 988 39.6737134149168 "c6.l38"
"989" "Lz.Fa.73.06_19_18" 994 989 50.449059096272 "c3.l37"
"995" "Lz.Fa.73.06_19_18" 994 995 48.5295501817161 "c3.l37"
"996" "Lz.Fa.73.06_19_18" 994 996 36.6134715457947 "c6.l38"
"1001" "Lz.Fa.73.06_19_18" 994 1001 49.2884652854251 "c3.l38"
"1002" "Lz.Fa.73.06_19_18" 994 1002 36.5764256986273 "c6.l38"
"1006" "Lz.Fa.73.06_19_18" 994 1006 49.976211405068 "c3.l38"
"1007" "Lz.Fa.73.06_19_18" 994 1007 25.0916867432269 "c4.l38"
"934" "Lz.Fa.73.06_19_18" 970 934 39.6285759500205 "c6.l36"
"944" "Lz.Fa.73.06_19_18" 970 944 28.5153810945227 "c4.l36"
"950" "Lz.Fa.73.06_19_18" 970 950 37.0572939069706 "c6.l36"
"975" "Lz.Fa.73.06_19_18" 970 975 45.4406532669627 "c3.l37"
"9761" "Lz.Fa.73.06_19_18" 970 976 39.4784977479651 "c6.l37"
"9891" "Lz.Fa.73.06_19_18" 970 989 50.6600318277824 "c3.l37"
"994" "Lz.Fa.73.06_19_18" 970 994 36.5577434177531 "c5.l38"
"897" "Lz.Fa.73.06_19_18" 927 897 26.5745905659534 "c14.l37"
"910" "Lz.Fa.73.06_19_18" 927 910 33.4031971328206 "c15.l37"
"916" "Lz.Fa.73.06_19_18" 927 916 43.1173290049471 "c13.l37"
"929" "Lz.Fa.73.06_19_18" 927 929 31.0667799729904 "c15.l38"
"933" "Lz.Fa.73.06_19_18" 927 933 46.4788328758996 "c13.l37"
"948" "Lz.Fa.73.06_19_18" 927 948 19.7544558774079 "c14.l38"
"959" "Lz.Fa.73.06_19_18" 927 959 38.5653107536488 "c13.l38"
"753" "Lz.Fa.73.06_19_18" 808 753 56.225171073974 "c9.l32"
"764" "Lz.Fa.73.06_19_18" 808 764 54.1264252838005 "c8.l32"
"777" "Lz.Fa.73.06_19_18" 808 777 53.1968353218962 "c10.l33"
"794" "Lz.Fa.73.06_19_18" 808 794 56.1097131741338 "c11.l34"
"818" "Lz.Fa.73.06_19_18" 808 818 58.1655331006173 "c11.l34"
"826" "Lz.Fa.73.06_19_18" 808 826 97.6853902163699 "c7.l34"
"850" "Lz.Fa.73.06_19_18" 808 850 62.0707565824502 "c10.l35"
"864" "Lz.Fa.73.06_19_18" 808 864 61.4545252085059 "c8.l35"
"867" "Lz.Fa.73.06_19_18" 808 867 56.3949604592339 "c9.l35"
"630" "Lz.Fa.73.06_19_18" 675 630 60.5757704420753 "c14.l30"
"638" "Lz.Fa.73.06_19_18" 675 638 60.9405667045522 "c15.l30"
"660" "Lz.Fa.73.06_19_18" 675 660 62.9542557638156 "c13.l30"
"677" "Lz.Fa.73.06_19_18" 675 677 66.6278075628516 "c12.l31"
"695" "Lz.Fa.73.06_19_18" 675 695 63.8699013787899 "c13.l32"
"720" "Lz.Fa.73.06_19_18" 675 720 68.1374717691719 "c15.l33"
"721" "Lz.Fa.73.06_19_18" 675 721 71.1900338964995 "c13.l33"
"732" "Lz.Fa.73.06_19_18" 675 732 70.3674763513159 "c15.l33"
"736" "Lz.Fa.73.06_19_18" 675 736 73.0188021068495 "c14.l33"
"572" "Lz.Fa.73.06_19_18" 639 572 65.1264196304098 "c10.l27"
"574" "Lz.Fa.73.06_19_18" 639 574 67.5617636959006 "c11.l27"
"586" "Lz.Fa.73.06_19_18" 639 586 65.4511179709061 "c8.l27"
"606" "Lz.Fa.73.06_19_18" 639 606 64.2145440726329 "c8.l28"
"614" "Lz.Fa.73.06_19_18" 639 614 63.6882913063137 "c11.l29"
"628" "Lz.Fa.73.06_19_18" 639 628 62.3563382796659 "c8.l28"
"641" "Lz.Fa.73.06_19_18" 639 641 69.383594157066 "c11.l29"
"649" "Lz.Fa.73.06_19_18" 639 649 62.3086870623474 "c8.l29"
"668" "Lz.Fa.73.06_19_18" 639 668 63.5757411651282 "c8.l30"
"674" "Lz.Fa.73.06_19_18" 639 674 73.990725284891 "c11.l30"
"686" "Lz.Fa.73.06_19_18" 639 686 72.0875228494919 "c10.l31"
"687" "Lz.Fa.73.06_19_18" 639 687 71.7134732737561 "c8.l31"
"176" "Lz.Fa.73.06_19_18" 259 176 148.24463314964 "c3.l14"
"185" "Lz.Fa.73.06_19_18" 259 185 137.330312008083 "c7.l15"
"190" "Lz.Fa.73.06_19_18" 259 190 138.981804070365 "c2.l15"
"199" "Lz.Fa.73.06_19_18" 259 199 133.638403326774 "c2.l15"
"209" "Lz.Fa.73.06_19_18" 259 209 133.36486619528 "c2.l15"
"215" "Lz.Fa.73.06_19_18" 259 215 118.480351060873 "c8.l17"
"225" "Lz.Fa.73.06_19_18" 259 225 129.59133490005 "c1.l16"
"229" "Lz.Fa.73.06_19_18" 259 229 112.711242563924 "c8.l18"
"240" "Lz.Fa.73.06_19_18" 259 240 125.696657300519 "c1.l17"
"251" "Lz.Fa.73.06_19_18" 259 251 117.181153592552 "c8.l19"
"255" "Lz.Fa.73.06_19_18" 259 255 126.731284695142 "c1.l17"
"275" "Lz.Fa.73.06_19_18" 259 275 116.33009188719 "c8.l19"
"283" "Lz.Fa.73.06_19_18" 259 283 126.328284688802 "c1.l19"
"290" "Lz.Fa.73.06_19_18" 259 290 119.970725354576 "c8.l20"
"321" "Lz.Fa.73.06_19_18" 259 321 132.174352550633 "c7.l21"
"331" "Lz.Fa.73.06_19_18" 259 331 142.98412578497 "c2.l20"
"341" "Lz.Fa.73.06_19_18" 259 341 136.008883105736 "c7.l22"
"352" "Lz.Fa.73.06_19_18" 259 352 137.349273831055 "c6.l22"
"359" "Lz.Fa.73.06_19_18" 259 359 141.367824094187 "c4.l22"
"87" "Lz.Fa.73.06_19_18" 124 87 173.650397610107 "c9.l7"
"88" "Lz.Fa.73.06_19_18" 124 88 173.447600426275 "c8.l7"
"99" "Lz.Fa.73.06_19_18" 124 99 163.853525129918 "c7.l8"
