"idD" "idV" "idCNeigh" "distance" "idSectorCN"
"1515" "St.Fs.55.06_28_2018" 1544 1515 31.3494334642791 "c1.l94"
"1527" "St.Fs.55.06_28_2018" 1544 1527 16.6257689486869 "c1.l95"
"1529" "St.Fs.55.06_28_2018" 1544 1529 20.0116344968524 "c2.l95"
"1540" "St.Fs.55.06_28_2018" 1544 1540 19.6809635815619 "c2.l95"
"1555" "St.Fs.55.06_28_2018" 1544 1555 23.902760273289 "c2.l96"
"1564" "St.Fs.55.06_28_2018" 1544 1564 15.3489682527687 "c1.l96"
"1570" "St.Fs.55.06_28_2018" 1544 1570 20.9305200867414 "c1.l96"
"15291" "St.Fs.55.06_28_2018" 1540 1529 11.7232629561587 "c2.l95"
"1532" "St.Fs.55.06_28_2018" 1540 1532 11.0993705502143 "c2.l95"
"1544" "St.Fs.55.06_28_2018" 1540 1544 19.6809635815619 "c1.l95"
"1549" "St.Fs.55.06_28_2018" 1540 1549 13.058280678351 "c2.l95"
"15551" "St.Fs.55.06_28_2018" 1540 1555 12.105656579101 "c2.l96"
"1497" "St.Fs.55.06_28_2018" 1516 1497 31.3864000988455 "c2.l94"
"1499" "St.Fs.55.06_28_2018" 1516 1499 23.2290674912486 "c3.l94"
"1504" "St.Fs.55.06_28_2018" 1516 1504 30.6612054067272 "c4.l94"
"1505" "St.Fs.55.06_28_2018" 1516 1505 28.9466343185302 "c2.l94"
"1511" "St.Fs.55.06_28_2018" 1516 1511 29.5457984574039 "c4.l94"
"1521" "St.Fs.55.06_28_2018" 1516 1521 21.8476766215421 "c2.l94"
"1525" "St.Fs.55.06_28_2018" 1516 1525 25.1411075551369 "c4.l95"
"15321" "St.Fs.55.06_28_2018" 1516 1532 19.370115667913 "c2.l95"
"1534" "St.Fs.55.06_28_2018" 1516 1534 19.3356990404549 "c3.l95"
"1536" "St.Fs.55.06_28_2018" 1516 1536 20.4687274385033 "c3.l95"
"1491" "St.Fs.55.06_28_2018" 1513 1491 27.5531982501269 "c7.l93"
"1500" "St.Fs.55.06_28_2018" 1513 1500 31.9475427696258 "c6.l93"
"1501" "St.Fs.55.06_28_2018" 1513 1501 20.2753226523192 "c7.l93"
