"idD" "idC" "idSectorV" "cFile" "layer" "nbNeigh"
"20" "St.Fs.55.06_28_2018" 20 "c5.l2" "5" "2" 11
"31" "St.Fs.55.06_28_2018" 31 "c7.l2" "7" "2" 8
"37" "St.Fs.55.06_28_2018" 37 "c2.l3" "2" "3" 10
"74" "St.Fs.55.06_28_2018" 74 "c7.l4" "7" "4" 5
"87" "St.Fs.55.06_28_2018" 87 "c2.l6" "2" "6" 10
"102" "St.Fs.55.06_28_2018" 102 "c6.l7" "6" "7" 8
"123" "St.Fs.55.06_28_2018" 123 "c3.l8" "3" "8" 12
"163" "St.Fs.55.06_28_2018" 163 "c6.l10" "6" "10" 11
"176" "St.Fs.55.06_28_2018" 176 "c5.l11" "5" "11" 6
"183" "St.Fs.55.06_28_2018" 183 "c4.l12" "4" "12" 6
"189" "St.Fs.55.06_28_2018" 189 "c7.l12" "7" "12" 5
"191" "St.Fs.55.06_28_2018" 191 "c6.l12" "6" "12" 7
"193" "St.Fs.55.06_28_2018" 193 "c5.l13" "5" "13" 8
"199" "St.Fs.55.06_28_2018" 199 "c2.l13" "2" "13" 12
"207" "St.Fs.55.06_28_2018" 207 "c7.l14" "7" "14" 11
"260" "St.Fs.55.06_28_2018" 260 "c7.l16" "7" "16" 7
"278" "St.Fs.55.06_28_2018" 278 "c2.l19" "2" "19" 10
"307" "St.Fs.55.06_28_2018" 307 "c6.l21" "6" "21" 9
"313" "St.Fs.55.06_28_2018" 313 "c8.l21" "8" "21" 6
"327" "St.Fs.55.06_28_2018" 327 "c3.l23" "3" "23" 14
"336" "St.Fs.55.06_28_2018" 336 "c7.l24" "7" "24" 10
"347" "St.Fs.55.06_28_2018" 347 "c1.l25" "1" "25" 6
"376" "St.Fs.55.06_28_2018" 376 "c7.l26" "7" "26" 6
"387" "St.Fs.55.06_28_2018" 387 "c5.l28" "5" "28" 10
"421" "St.Fs.55.06_28_2018" 421 "c5.l30" "5" "30" 7
"424" "St.Fs.55.06_28_2018" 424 "c2.l31" "2" "31" 6
"447" "St.Fs.55.06_28_2018" 447 "c7.l32" "7" "32" 11
"451" "St.Fs.55.06_28_2018" 451 "c3.l33" "3" "33" 10
"533" "St.Fs.55.06_28_2018" 533 "c3.l38" "3" "38" 10
"539" "St.Fs.55.06_28_2018" 539 "c7.l38" "7" "38" 8
"548" "St.Fs.55.06_28_2018" 548 "c2.l40" "2" "40" 11
"631" "St.Fs.55.06_28_2018" 631 "c7.l44" "7" "44" 9
"660" "St.Fs.55.06_28_2018" 660 "c3.l46" "3" "46" 10
"666" "St.Fs.55.06_28_2018" 666 "c7.l46" "7" "46" 8
"710" "St.Fs.55.06_28_2018" 710 "c6.l50" "6" "50" 10
"711" "St.Fs.55.06_28_2018" 711 "c2.l50" "2" "50" 10
"713" "St.Fs.55.06_28_2018" 713 "c8.l50" "8" "50" 8
"747" "St.Fs.55.06_28_2018" 747 "c2.l52" "2" "52" 9
"787" "St.Fs.55.06_28_2018" 787 "c7.l54" "7" "54" 10
"814" "St.Fs.55.06_28_2018" 814 "c4.l56" "4" "56" 9
"825" "St.Fs.55.06_28_2018" 825 "c2.l57" "2" "57" 9
"861" "St.Fs.55.06_28_2018" 861 "c1.l59" "1" "59" 7
"873" "St.Fs.55.06_28_2018" 873 "c6.l60" "6" "60" 14
"891" "St.Fs.55.06_28_2018" 891 "c1.l61" "1" "61" 6
"912" "St.Fs.55.06_28_2018" 912 "c3.l62" "3" "62" 13
"937" "St.Fs.55.06_28_2018" 937 "c7.l63" "7" "63" 11
"978" "St.Fs.55.06_28_2018" 978 "c7.l66" "7" "66" 6
"985" "St.Fs.55.06_28_2018" 985 "c4.l67" "4" "67" 11
"1001" "St.Fs.55.06_28_2018" 1001 "c7.l68" "7" "68" 8
"1004" "St.Fs.55.06_28_2018" 1004 "c2.l69" "2" "69" 8
"1129" "St.Fs.55.06_28_2018" 1129 "c2.l74" "2" "74" 14
"1134" "St.Fs.55.06_28_2018" 1134 "c6.l74" "6" "74" 8
"1142" "St.Fs.55.06_28_2018" 1142 "c5.l76" "5" "76" 10
"1172" "St.Fs.55.06_28_2018" 1172 "c7.l77" "7" "77" 11
"1247" "St.Fs.55.06_28_2018" 1247 "c2.l82" "2" "82" 8
"1252" "St.Fs.55.06_28_2018" 1252 "c8.l81" "8" "81" 6
"1258" "St.Fs.55.06_28_2018" 1258 "c6.l82" "6" "82" 8
"1278" "St.Fs.55.06_28_2018" 1278 "c3.l83" "3" "83" 9
"1298" "St.Fs.55.06_28_2018" 1298 "c3.l85" "3" "85" 9
"1358" "St.Fs.55.06_28_2018" 1358 "c5.l88" "5" "88" 10
"1359" "St.Fs.55.06_28_2018" 1359 "c7.l88" "7" "88" 9
"1455" "St.Fs.55.06_28_2018" 1455 "c1.l92" "1" "92" 8
"1474" "St.Fs.55.06_28_2018" 1474 "c6.l92" "6" "92" 9
"1513" "St.Fs.55.06_28_2018" 1513 "c7.l94" "7" "94" 9
"1516" "St.Fs.55.06_28_2018" 1516 "c3.l94" "3" "94" 10
"1540" "St.Fs.55.06_28_2018" 1540 "c2.l95" "2" "95" 5
"1544" "St.Fs.55.06_28_2018" 1544 "c1.l95" "1" "95" 7
