"minLay" "idSectorMin" "idD" "idVessel" "cFile" "layer" "idSectorV" "nbNeigh" "type" "PolySide" "nbcell" "CellS" "CellI" "CellE" "LSide" "nbCellp" "cumulCBef" "vessel.index"
"1" 1 "c5.l1" "St.Fs.55.06_28_2018" 20 "5" "2" "c5.l2" 11 "Vessel" "LeftEdge" 0 0 0 0 "Edge" 0 0 1
"2" 2 "c2.l2" "St.Fs.55.06_28_2018" 37 "2" "3" "c2.l3" 10 "Vessel" "RightSup" 2 0 1 1 "Sup" 2 3 6
"3" 2 "c7.l2" "St.Fs.55.06_28_2018" 31 "7" "2" "c7.l2" 8 "Vessel" "RightEdge" 0 0 0 0 "Edge" 0 3 4
"4" 4 "c7.l4" "St.Fs.55.06_28_2018" 74 "7" "4" "c7.l4" 5 "Vessel" "RightEdge" 3 0 1 0 "Edge" 1 8 10
"5" 5 "c2.l5" "St.Fs.55.06_28_2018" 87 "2" "6" "c2.l6" 10 "Vessel" "LeftInf" 0 0 0 0 "Inf" 0 11 12
"6" 6 "c6.l6" "St.Fs.55.06_28_2018" 102 "6" "7" "c6.l7" 8 "Vessel" "RightInf" 0 0 0 0 "Inf" 0 14 15
"7" 7 "c3.l7" "St.Fs.55.06_28_2018" 123 "3" "8" "c3.l8" 12 "Vessel" "RightSup" 2 0 1 1 "Sup" 2 16 19
"8" 9 "c6.l9" "St.Fs.55.06_28_2018" 163 "6" "10" "c6.l10" 11 "Vessel" "RightEdge" 3 0 1 1 "Edge" 2 22 25
"9" 10 "c5.l10" "St.Fs.55.06_28_2018" 176 "5" "11" "c5.l11" 6 "Vessel" "LeftSup" 1 0 0 1 "Sup" 1 25 27
"10" 11 "c7.l11" "St.Fs.55.06_28_2018" 189 "7" "12" "c7.l12" 5 "Vessel" "RightInf" 1 0 0 1 "Inf" 1 27 29
"11" 11 "c6.l11" "St.Fs.55.06_28_2018" 191 "6" "12" "c6.l12" 7 "Vessel" "RightEdge" 0 0 0 0 "Edge" 0 27 28
"12" 12 "c4.l12" "St.Fs.55.06_28_2018" 183 "4" "12" "c4.l12" 6 "Vessel" "LeftEdge" 0 0 0 0 "Edge" 0 30 31
"13" 12 "c2.l12" "St.Fs.55.06_28_2018" 199 "2" "13" "c2.l13" 12 "Vessel" "RightSup" 1 0 1 0 "Sup" 1 30 32
"14" 12 "c7.l12" "St.Fs.55.06_28_2018" 207 "7" "14" "c7.l14" 11 "Vessel" "RightInf" 1 0 0 1 "Inf" 1 30 32
"15" 12 "c5.l12" "St.Fs.55.06_28_2018" 193 "5" "13" "c5.l13" 8 "Vessel" "RightInf" 0 0 0 0 "Inf" 0 30 31
"16" 16 "c7.l16" "St.Fs.55.06_28_2018" 260 "7" "16" "c7.l16" 7 "Vessel" "RightSup" 2 1 0 1 "Sup" 1 39 41
"17" 17 "c2.l17" "St.Fs.55.06_28_2018" 278 "2" "19" "c2.l19" 10 "Vessel" "LeftInf" 2 0 1 1 "Inf" 2 42 45
"18" 19 "c6.l19" "St.Fs.55.06_28_2018" 307 "6" "21" "c6.l21" 9 "Vessel" "RightInf" 1 0 1 0 "Inf" 1 46 48
"19" 20 "c3.l20" "St.Fs.55.06_28_2018" 327 "3" "23" "c3.l23" 14 "Vessel" "RightEdge" 2 0 0 1 "Edge" 1 49 51
"20" 20 "c8.l20" "St.Fs.55.06_28_2018" 313 "8" "21" "c8.l21" 6 "Vessel" "LeftEdge" 2 0 0 1 "Edge" 1 49 51
"21" 22 "c7.l22" "St.Fs.55.06_28_2018" 336 "7" "24" "c7.l24" 10 "Vessel" "LeftEdge" 2 0 1 0 "Edge" 1 53 55
"22" 25 "c1.l25" "St.Fs.55.06_28_2018" 347 "1" "25" "c1.l25" 6 "Vessel" "RightEdge" 2 1 1 0 "Edge" 1 61 63
"23" 25 "c7.l25" "St.Fs.55.06_28_2018" 376 "7" "26" "c7.l26" 6 "Vessel" "RightSup" 0 0 0 0 "Sup" 0 61 62
"24" 27 "c5.l27" "St.Fs.55.06_28_2018" 387 "5" "28" "c5.l28" 10 "Vessel" "RightEdge" 0 0 0 0 "Edge" 0 67 68
"25" 29 "c2.l29" "St.Fs.55.06_28_2018" 424 "2" "31" "c2.l31" 6 "Vessel" "LeftInf" 3 0 1 1 "Inf" 2 73 76
"26" 30 "c5.l30" "St.Fs.55.06_28_2018" 421 "5" "30" "c5.l30" 7 "Vessel" "RightSup" 0 0 0 0 "Sup" 0 76 77
"27" 31 "c7.l31" "St.Fs.55.06_28_2018" 447 "7" "32" "c7.l32" 11 "Vessel" "LeftSup" 2 0 1 1 "Sup" 2 78 81
"28" 32 "c3.l32" "St.Fs.55.06_28_2018" 451 "3" "33" "c3.l33" 10 "Vessel" "LeftEdge" 0 0 0 0 "Edge" 0 80 81
"29" 37 "c3.l37" "St.Fs.55.06_28_2018" 533 "3" "38" "c3.l38" 10 "Vessel" "LeftEdge" 0 0 0 0 "Edge" 0 93 94
"30" 37 "c7.l37" "St.Fs.55.06_28_2018" 539 "7" "38" "c7.l38" 8 "Vessel" "RightSup" 1 0 0 1 "Sup" 1 93 95
"31" 38 "c2.l38" "St.Fs.55.06_28_2018" 548 "2" "40" "c2.l40" 11 "Vessel" "LeftSup" 0 0 0 0 "Sup" 0 95 96
"32" 43 "c7.l43" "St.Fs.55.06_28_2018" 631 "7" "44" "c7.l44" 9 "Vessel" "RightEdge" 2 0 1 0 "Edge" 1 106 108
"33" 45 "c3.l45" "St.Fs.55.06_28_2018" 660 "3" "46" "c3.l46" 10 "Vessel" "LeftSup" 1 0 0 1 "Sup" 1 112 114
"34" 46 "c7.l46" "St.Fs.55.06_28_2018" 666 "7" "46" "c7.l46" 8 "Vessel" "LeftSup" 0 0 0 0 "Sup" 0 115 116
"35" 48 "c6.l48" "St.Fs.55.06_28_2018" 710 "6" "50" "c6.l50" 10 "Vessel" "LeftEdge" 2 0 1 1 "Edge" 2 120 123
"36" 48 "c8.l48" "St.Fs.55.06_28_2018" 713 "8" "50" "c8.l50" 8 "Vessel" "LeftInf" 0 0 0 0 "Inf" 0 120 121
"37" 50 "c2.l50" "St.Fs.55.06_28_2018" 711 "2" "50" "c2.l50" 10 "Vessel" "RightEdge" 0 0 0 0 "Edge" 0 124 125
"38" 52 "c2.l52" "St.Fs.55.06_28_2018" 747 "2" "52" "c2.l52" 9 "Vessel" "LeftSup" 2 0 1 0 "Sup" 1 129 131
"39" 53 "c7.l53" "St.Fs.55.06_28_2018" 787 "7" "54" "c7.l54" 10 "Vessel" "LeftEdge" 1 0 1 0 "Edge" 1 132 134
"40" 55 "c4.l55" "St.Fs.55.06_28_2018" 814 "4" "56" "c4.l56" 9 "Vessel" "RightEdge" 2 0 0 1 "Edge" 1 138 140
"41" 56 "c2.l56" "St.Fs.55.06_28_2018" 825 "2" "57" "c2.l57" 9 "Vessel" "LeftEdge" 0 0 0 0 "Edge" 0 141 142
"42" 58 "c1.l58" "St.Fs.55.06_28_2018" 861 "1" "59" "c1.l59" 7 "Vessel" "RightEdge" 1 0 1 0 "Edge" 1 146 148
"43" 58 "c6.l58" "St.Fs.55.06_28_2018" 873 "6" "60" "c6.l60" 14 "Vessel" "RightInf" 3 0 1 1 "Inf" 2 146 149
"44" 60 "c1.l60" "St.Fs.55.06_28_2018" 891 "1" "61" "c1.l61" 6 "Vessel" "LeftEdge" 1 0 0 1 "Edge" 1 152 154
"45" 61 "c3.l61" "St.Fs.55.06_28_2018" 912 "3" "62" "c3.l62" 13 "Vessel" "LeftEdge" 2 0 1 1 "Edge" 2 155 158
"46" 62 "c7.l62" "St.Fs.55.06_28_2018" 937 "7" "63" "c7.l63" 11 "Vessel" "LeftSup" 3 0 1 1 "Sup" 2 158 161
"47" 64 "c7.l64" "St.Fs.55.06_28_2018" 978 "7" "66" "c7.l66" 6 "Vessel" "RightInf" 1 0 0 1 "Inf" 1 163 165
"48" 65 "c4.l65" "St.Fs.55.06_28_2018" 985 "4" "67" "c4.l67" 11 "Vessel" "RightInf" 2 0 1 1 "Inf" 2 165 168
"49" 67 "c2.l67" "St.Fs.55.06_28_2018" 1004 "2" "69" "c2.l69" 8 "Vessel" "LeftInf" 3 0 1 1 "Inf" 2 172 175
"50" 67 "c7.l67" "St.Fs.55.06_28_2018" 1001 "7" "68" "c7.l68" 8 "Vessel" "RightEdge" 1 0 0 1 "Edge" 1 172 174
