"idSector" "layer" "cFile" "idD" "xLeftC" "xRightC" "yInfL" "ySupL" "xLeftL" "xRightL" "yLeftL" "yRightL" "xLeftLed" "xRightLed" "xLengthL" "xLengthInfL" "xLengthSupL" "xLeftInfP" "xLeftSupP" "xLeftEdgeS" "yLeftInfS" "yLeftSupS" "yLeftEdgeS" "xRightInfS" "xRightSupS" "xRightEdgeS" "yRightInfS" "yRightSupS" "yRightEdgeS" "APF" "vessel" "idVessel" "nbcell" "Vorigin" "cLdif" "laydif" "circle"
"39" "c10.l1" 1 10 "Lz.Fa.73.06_19_18" NA 1 32.643 71.514 184.25326623981 641.038339093723 58.3537676619613 58.3537676619613 177.25326623981 648.038339093723 474.387760194559 472.977721380261 488.522231571501 437.95858626461 428.586644045122 433.272615154866 27.643 72.005 52.0785 469.60079582495 460.998146927134 465.299471376042 26.643 71.0285 51.093 0 1 36 0 NA 0 2 2
"50" "c10.l2" 2 10 "Lz.Fa.73.06_19_18" 43 7 71.514 110.385 168.542991002296 641.038339093723 103.562655250151 39.1171281985271 161.542991002296 648.038339093723 490.745300203232 488.522231571501 500.566153014303 428.586644045122 425.271143532185 426.928893788653 72.005 110.385 91.195 460.998146927134 458.759019168842 459.878583047988 71.0285 109.443 90.23575 0 1 36 0 NA 0 1 1
"61" "c10.l3" 3 10 "Lz.Fa.73.06_19_18" 60 12 110.385 149.255 156.359079990701 640.39664709955 78.4470424036791 78.4470424036791 149.359079990701 647.39664709955 498.037567108849 500.566153014303 512.405655576519 425.271143532185 419.185240926012 422.228192229099 110.385 149.255 129.82 458.759019168842 453.465179284082 456.112099226462 109.443 148.343 128.893 0 1 36 0 1 0 0 0
"71" "c10.l4" 4 10 "Lz.Fa.73.06_19_18" 68 27 149.255 188.126 143.747243572235 630.991897838999 183.077942241927 183.077942241927 136.747243572235 637.991897838999 501.244654266764 512.405655576519 510.51067634539 419.185240926012 418.140728373814 418.662984649913 149.255 188.126 168.6905 453.465179284082 452.29389262132 452.879535952701 148.343 187.243 167.793 0 1 36 0 NA 0 -1 1
"72" "c10.l5" 5 10 "Lz.Fa.73.06_19_18" 75 38 188.126 226.997 148.557384018769 638.580219455901 203.2106 203.2106 141.557384018769 645.580219455901 504.022835437132 510.51067634539 512.984711185876 418.140728373814 416.939609562553 417.540168968183 188.126 226.997 207.5615 452.29389262132 451.258286740888 451.776089681104 187.243 226.142 206.6925 0 1 36 0 NA 0 -2 2
"73" "c10.l6" 6 10 "Lz.Fa.73.06_19_18" 97 52 226.997 265.867 141.182436756898 634.626125939245 270.928949441617 270.928949441617 134.182436756898 641.626125939245 507.443689182347 512.984711185876 533.366220364354 416.939609562553 428.17389742173 422.556753492141 226.997 265.867 246.432 451.258286740888 463.856097564105 457.557192152497 226.142 265.042 245.592 0 1 36 0 NA 0 -3 3
"74" "c10.l7" 7 10 "Lz.Fa.73.06_19_18" 105 57 265.867 304.738 142.358545219321 659.099850675409 303.953926018212 248.912363762599 135.358545219321 666.099850675409 533.587768687374 533.366220364354 532.117983929535 428.17389742173 428.66197796128 428.417937691505 265.867 304.738 285.3025 463.856097564105 464.260671086166 464.058384325136 265.042 303.942 284.492 0 1 36 0 NA 0 -4 4
"75" "c10.l8" 8 10 "Lz.Fa.73.06_19_18" 111 57 304.738 343.609 145.885105561376 659.099850675409 320.302866666667 320.302866666667 138.885105561376 666.099850675409 527.214745114033 532.117983929535 528.526789282866 428.66197796128 430.209071814092 429.435524887686 304.738 343.609 324.1735 464.260671086166 465.567514017115 464.914092551641 303.942 342.842 323.392 0 1 36 0 NA 0 -5 5
"77" "c11.l1" 1 11 "Lz.Fa.73.06_19_18" NA 1 31.643 70.543 184.25326623981 641.038339093723 58.3537676619613 58.3537676619613 177.25326623981 648.038339093723 474.387760194559 472.977721380261 488.522231571501 469.60079582495 460.998146927134 465.299471376042 26.643 71.0285 51.093 508.716053383097 501.064384421041 504.890218902069 2.398 58.7395 27.167 0 1 36 0 NA -1 2 2
"88" "c11.l2" 2 11 "Lz.Fa.73.06_19_18" 43 7 70.543 109.443 168.542991002296 641.038339093723 103.562655250151 39.1171281985271 161.542991002296 648.038339093723 490.745300203232 488.522231571501 500.566153014303 460.998146927134 458.759019168842 459.878583047988 71.0285 109.443 90.23575 501.064384421041 500.155840023125 500.610112222083 58.7395 86.474 72.60675 0 1 36 0 NA -1 1 1
"99" "c11.l3" 3 11 "Lz.Fa.73.06_19_18" 60 12 109.443 148.343 156.359079990701 640.39664709955 78.4470424036791 78.4470424036791 149.359079990701 647.39664709955 498.037567108849 500.566153014303 512.405655576519 458.759019168842 453.465179284082 456.112099226462 109.443 148.343 128.893 500.155840023125 495.84112700026 497.998483511692 86.474 126.012 106.243 0 1 36 0 NA -1 0 1
"109" "c11.l4" 4 11 "Lz.Fa.73.06_19_18" 68 27 148.343 187.243 143.747243572235 630.991897838999 183.077942241927 183.077942241927 136.747243572235 637.991897838999 501.244654266764 512.405655576519 510.51067634539 453.465179284082 452.29389262132 452.879535952701 148.343 187.243 167.793 495.84112700026 494.513125555084 495.177126277672 126.012 165.55 145.781 0 1 36 0 NA -1 -1 1
"110" "c11.l5" 5 11 "Lz.Fa.73.06_19_18" 75 38 187.243 226.142 148.557384018769 638.580219455901 203.2106 203.2106 141.557384018769 645.580219455901 504.022835437132 510.51067634539 512.984711185876 452.29389262132 451.258286740888 451.776089681104 187.243 226.142 206.6925 494.513125555084 493.68212235596 494.097623955522 165.55 205.087 185.3185 0 1 36 0 NA -1 -2 2
"111" "c11.l6" 6 11 "Lz.Fa.73.06_19_18" 97 52 226.142 265.042 141.182436756898 634.626125939245 270.928949441617 270.928949441617 134.182436756898 641.626125939245 507.443689182347 512.984711185876 533.366220364354 451.258286740888 463.856097564105 457.557192152497 226.142 265.042 245.592 493.68212235596 507.965483988237 500.823803172099 205.087 244.625 224.856 0 1 36 0 NA -1 -3 3
"112" "c11.l7" 7 11 "Lz.Fa.73.06_19_18" 105 57 265.042 303.942 142.358545219321 659.099850675409 303.953926018212 248.912363762599 135.358545219321 666.099850675409 533.587768687374 533.366220364354 532.117983929535 463.856097564105 464.260671086166 464.058384325136 265.042 303.942 284.492 507.965483988237 508.266828357139 508.116156172688 244.625 284.163 264.394 0 1 36 0 NA -1 -4 4
"115" "c12.l1" 1 12 "Lz.Fa.73.06_19_18" NA 1 7.398 46.936 184.25326623981 641.038339093723 58.3537676619613 58.3537676619613 177.25326623981 648.038339093723 474.387760194559 472.977721380261 488.522231571501 508.716053383097 501.064384421041 504.890218902069 2.398 58.7395 27.167 547.973204257659 541.2759649772 544.624584617429 -7.541 42.0775 17.339 1 1 36 2 NA -2 2 2
