"idSector" "layer" "cFile" "idD" "xLeftC" "xRightC" "yInfL" "ySupL" "xLeftL" "xRightL" "yLeftL" "yRightL" "xLeftLed" "xRightLed" "xLengthL" "xLengthInfL" "xLengthSupL" "xLeftInfP" "xLeftSupP" "xLeftEdgeS" "yLeftInfS" "yLeftSupS" "yLeftEdgeS" "xRightInfS" "xRightSupS" "xRightEdgeS" "yRightInfS" "yRightSupS" "yRightEdgeS" "APF" "vessel" "idVessel" "nbcell" "Vorigin" "cLdif" "laydif" "circle"
"204" "c3.l2" 2 3 "St.Fs.55.06_28_2018" 26 30 29.026 58.975 72.9939321069784 241.300860944724 53.5439911474314 69.1538665859457 65.9939321069784 248.300860944724 182.97399955583 186.999652683955 186.982868220379 112.457178387732 112.461637439081 112.459407913406 28.615 58.975 43.795 134.819156516601 134.825622884508 134.822389700554 27.0095 54.986 40.99775 1 1 20 1 NA 2 0 2
"289" "c4.l1" 1 4 "St.Fs.55.06_28_2018" 10 21 -5 24.993 69.7822985771818 241.300860944724 18.605263361334 35.0889592400424 62.7822985771818 248.300860944724 186.249427415875 187.016657971742 186.999652683955 135.980618507322 134.819156516601 135.399887511961 -15 27.0095 9.9965 155.991400910298 154.512421206222 155.25191105826 -16 24.508 9.0115 1 1 20 1 NA 1 1 1
"300" "c4.l2" 2 4 "St.Fs.55.06_28_2018" 26 30 24.993 54.986 72.9939321069784 241.300860944724 53.5439911474314 69.1538665859457 65.9939321069784 248.300860944724 182.97399955583 186.999652683955 186.982868220379 134.819156516601 134.825622884508 134.822389700554 27.0095 54.986 40.99775 154.512421206222 154.52065533439 154.516538270306 24.508 54.047 39.2775 0 1 20 0 NA 1 0 1
"311" "c4.l3" 3 4 "St.Fs.55.06_28_2018" 33 50 54.986 84.979 69.7822985771818 237.54462529844 74.8593040250386 102.335214038537 62.7822985771818 244.54462529844 183.827280473262 186.982868220379 188.350217928532 134.825622884508 130.231039324824 132.528331104666 54.986 84.979 69.9825 154.52065533439 150.078216109865 152.299435722128 54.047 84.07 69.0585 1 1 20 2 NA 1 -1 1
"385" "c5.l1" 1 5 "St.Fs.55.06_28_2018" 10 21 -6 24.023 69.7822985771818 241.300860944724 18.605263361334 35.0889592400424 62.7822985771818 248.300860944724 186.249427415875 187.016657971742 186.999652683955 155.991400910298 154.512421206222 155.25191105826 -16 24.508 9.0115 174.132016733557 172.365193868776 173.248605301167 -16 26.8175 14.622 0 1 20 0 NA 0 1 1
"396" "c5.l2" 2 5 "St.Fs.55.06_28_2018" 26 30 24.023 54.047 72.9939321069784 241.300860944724 53.5439911474314 69.1538665859457 65.9939321069784 248.300860944724 182.97399955583 186.999652683955 186.982868220379 154.512421206222 154.52065533439 154.516538270306 24.508 54.047 39.2775 172.365193868776 172.375030545965 172.370112207371 26.8175 59.593 43.20525 0 1 20 0 1 0 0 0
"407" "c5.l3" 3 5 "St.Fs.55.06_28_2018" 33 50 54.047 84.07 69.7822985771818 237.54462529844 74.8593040250386 102.335214038537 62.7822985771818 244.54462529844 183.827280473262 186.982868220379 188.350217928532 154.52065533439 150.078216109865 152.299435722128 54.047 84.07 69.0585 172.375030545965 168.070516559856 170.222773552911 59.593 89.573 74.583 1 1 20 1 NA 0 -1 1
"481" "c6.l1" 1 6 "St.Fs.55.06_28_2018" 10 21 -0.368 29.612 69.7822985771818 241.300860944724 18.605263361334 35.0889592400424 62.7822985771818 248.300860944724 186.249427415875 187.016657971742 186.999652683955 174.132016733557 172.365193868776 173.248605301167 -16 26.8175 14.622 199.6597905467 197.487910038247 198.573850292473 -10.368 34.7415 24.9255 1 1 20 2 NA -1 1 1
"492" "c6.l2" 2 6 "St.Fs.55.06_28_2018" 26 30 29.612 59.593 72.9939321069784 241.300860944724 53.5439911474314 69.1538665859457 65.9939321069784 248.300860944724 182.97399955583 186.999652683955 186.982868220379 172.365193868776 172.375030545965 172.370112207371 26.8175 59.593 43.20525 197.487910038247 197.500001848852 197.49395594355 34.7415 69.762 52.25175 0 1 20 0 NA -1 0 1
"588" "c7.l2" 2 7 "St.Fs.55.06_28_2018" 26 30 39.871 69.762 72.9939321069784 241.300860944724 53.5439911474314 69.1538665859457 65.9939321069784 248.300860944724 182.97399955583 186.999652683955 186.982868220379 197.487910038247 197.500001848852 197.49395594355 34.7415 69.762 52.25175 224.230259191537 224.244751521449 224.237505356493 45.7705 81.467 63.61875 0 1 20 0 NA -2 0 2
